scheme_name,trans_date,amount,units,unit_price,latest_nav,latest_nav_date,gf_nav,new_purch_nav,ltcg,stcg,cumil_ltcg,cumil_units,current_amt,perc_gain
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,22-Jun-2020,25000.0,452.17,55.289,93.405,17-Jun-2021,54.687,55.289,0.0,17234.91,264659.08,7300.4,42234.94,68.94
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Jul-2020,24998.75,423.578,59.018,93.405,17-Jun-2021,54.687,59.018,0.0,14565.58,264659.08,7723.98,39564.3,58.27
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Aug-2020,24998.75,399.418,62.588,93.405,17-Jun-2021,54.687,62.588,0.0,12308.86,264659.08,8123.4,37307.64,49.24
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Sep-2020,24998.75,404.288,61.834,93.405,17-Jun-2021,54.687,61.834,0.0,12763.78,264659.08,8527.68,37762.52,51.06
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Oct-2020,24998.75,386.403,64.696,93.405,17-Jun-2021,54.687,64.696,0.0,11093.24,264659.08,8914.09,36091.97,44.38
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,23-Nov-2020,24998.75,353.94,70.63,93.405,17-Jun-2021,54.687,70.63,0.0,8060.98,264659.08,9268.03,33059.77,32.25
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Dec-2020,24998.75,346.085,72.233,93.405,17-Jun-2021,54.687,72.233,0.0,7327.31,264659.08,9614.11,32326.07,29.31
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Jan-2021,24998.75,310.412,80.534,93.405,17-Jun-2021,54.687,80.534,0.0,3995.31,264659.08,9924.52,28994.03,15.98
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,22-Feb-2021,24998.75,298.403,83.775,93.405,17-Jun-2021,54.687,83.775,0.0,2873.62,264659.08,10222.93,27872.33,11.49
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Mar-2021,24998.75,294.599,84.857,93.405,17-Jun-2021,54.687,84.857,0.0,2518.23,264659.08,10517.53,27517.02,10.07
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,22-Apr-2021,24998.75,299.447,83.483,93.405,17-Jun-2021,54.687,83.483,0.0,2971.11,264659.08,10816.97,27969.85,11.88
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-May-2021,24998.75,275.742,90.66,93.405,17-Jun-2021,54.687,90.66,0.0,756.91,264659.08,11092.72,25755.68,3.03
Mirae Asset Large Cap Fund-Direct Plan-Growth,19-Feb-2019,250000.0,5098.607,49.033,76.139,17-Jun-2021,51.799,49.033,138202.84,0.0,138202.84,5098.61,388202.84,55.28
Mirae Asset Large Cap Fund-Direct Plan-Growth,10-Jun-2019,150000.0,2708.119,55.389,76.139,17-Jun-2021,51.799,55.389,56193.47,0.0,194396.31,7806.73,206193.47,37.46
Mirae Asset Large Cap Fund-Direct Plan-Growth,14-Jun-2019,300000.0,5464.68,54.898,76.139,17-Jun-2021,51.799,54.898,116075.27,0.0,310471.58,13271.41,416075.27,38.69
Mirae Asset Large Cap Fund-Direct Plan-Growth,17-Mar-2020,200000.0,4548.452,43.971,76.139,17-Jun-2021,51.799,43.971,146314.6,0.0,456786.18,17819.86,346314.59,73.16
